Pop growth,Pop growth 2004,Price index,Carbon Dioxide 2003,Export 1990,Export 2004,Elec 2003,GDP,GDP PPP,GDP pc,GDP pc growth rate,Fem Econo Rate,Fem Econo 1990,Fem Econo 2004,Health Exp,Babies,Internet 1990,Import 1990,Import 2004,Tertiary female ratio,Babies immunized,Manufactured Exp 2004,Foreign invest 2004,Military 2004,Public Health 2003,Private Health 2003,Primary export 2004,Public Health,Refugees asylum,Refugees origin,Armed forces,Parliament Women,Female Male income,House women 2006,Pop 1975,Pop 2004,Pop 2015,Tuberculosis detected,Tuberculosis cured 2004,Trad fuel,ODA pc donnor 2004,ODA to least dev 1990,ODA to least dev 2004,ODA received,ODA received pc
7.2,2.4,15.5,33.6,66.0,82.0,15878.0,104.2,103.9,24121.0,-0.5,37.4,149.0,41.0,623.0,15.0,0.0,41.0,65.0,3.24,94.0,62.0,7.0,2.4,2.5,0.8,36.0,2.5,0.0,0.0,51.0,0.0,0.24,0.0,0.5,4.3,5.6,17.0,64.0,4284.0,0.0,0.0,0.0,5.7,1.3
2.0,1.1,15.7,4.0,19.0,30.0,2108.0,676.5,1017.5,6518.0,1.3,39.9,115.0,49.0,582.0,9.0,0.0,20.0,32.0,0.98,96.0,80.0,2.6,0.4,2.9,3.3,20.0,2.9,3.0,2.0,193.0,25.0,0.39,25.8,59.3,105.7,119.1,71.0,83.0,105699.0,0.0,0.0,0.0,121.1,1.1
-0.4,-0.8,75.1,5.6,33.0,58.0,4735.0,24.1,62.7,3109.0,0.7,41.9,70.0,79.0,573.0,10.0,0.0,37.0,69.0,1.16,95.0,62.0,8.3,2.4,4.1,3.4,33.0,4.1,4.0,4.0,51.0,22.1,0.65,22.1,8.7,7.8,7.2,104.0,91.0,7780.0,0.0,0.0,0.0,622.4,80.0
0.9,0.3,5.1,22.1,45.0,60.0,4925.0,12.5,15.9,9640.0,3.3,46.6,112.0,61.0,532.0,23.0,0.0,29.0,48.0,1.27,95.0,35.0,8.0,2.3,1.5,2.4,65.0,1.5,46.0,0.0,3.0,25.4,0.46,19.4,1.0,1.3,1.3,63.0,79.0,1301.0,0.0,0.0,0.0,-0.8,-0.6
2.1,1.6,1.1,1.9,87.0,63.0,1733.0,13.7,23.1,4325.0,2.2,49.9,129.0,63.0,555.0,10.0,0.0,79.0,65.0,1.59,99.0,10.0,7.4,0.0,5.0,2.6,90.0,5.0,2.0,0.0,0.0,16.7,0.56,16.7,1.7,3.2,3.8,133.0,74.0,3175.0,0.0,0.0,0.0,37.7,11.9
3.5,2.0,0.1,12.9,47.0,57.0,3817.0,24.3,38.7,9584.0,1.9,21.9,145.0,27.0,419.0,8.0,0.0,28.0,43.0,1.38,98.0,12.0,-0.1,12.0,2.7,0.5,87.0,2.7,0.0,0.0,42.0,7.8,0.18,2.4,0.9,2.5,3.2,123.0,90.0,2534.0,0.0,0.0,0.0,54.9,21.7
0.1,-0.4,72.3,4.2,17.0,37.0,2441.0,73.2,183.9,3374.0,1.4,50.7,95.0,80.0,540.0,9.0,0.0,26.0,46.0,1.26,97.0,82.0,7.4,2.1,3.8,2.3,17.0,3.8,2.0,11.0,97.0,10.7,0.65,11.2,21.2,21.8,20.9,41.0,80.0,21790.0,0.0,0.0,0.0,915.7,42.0
2.4,1.6,3.0,6.4,75.0,121.0,3196.0,118.3,255.8,4753.0,3.5,46.1,105.0,56.0,374.0,10.0,0.0,72.0,100.0,1.41,95.0,76.0,3.9,2.3,2.2,1.6,23.0,2.2,34.0,0.0,110.0,13.1,0.36,9.1,12.3,24.9,29.6,69.0,72.0,24894.0,0.0,0.0,0.0,289.5,11.6
1.1,0.8,6.3,2.6,64.0,56.0,1683.0,6.0,14.8,4889.0,3.9,42.2,101.0,53.0,430.0,13.0,0.0,71.0,56.0,1.39,98.0,71.0,0.2,0.2,2.2,1.5,28.0,2.2,0.0,0.0,0.0,17.1,0.4,17.1,0.9,1.2,1.3,33.0,87.0,1233.0,0.0,0.0,0.0,37.9,30.8
0.2,-0.5,59.4,10.3,18.0,35.0,6303.0,581.4,1424.4,4042.0,-0.6,54.3,90.0,80.0,551.0,6.0,0.0,18.0,22.0,1.36,98.0,21.0,2.1,3.9,3.3,2.3,62.0,3.3,2.0,103.0,1027.0,8.0,0.62,9.8,134.2,143.9,136.7,13.0,61.0,143899.0,0.0,0.0,0.0,1313.1,9.1
